Refererence set,Term,Preferred Term,Concept Id
Intervensjoner,Application of lubricant to lips (regime/therapy),smørjing av lepper,225074002
Intervensjoner,Caregiver support (regime/therapy),støtte av omsorgsgiver,386229000
Intervensjoner,Relief of itch of skin (procedure),lindring av hudkløe,337941000202108
Intervensjoner,Assessment of response to education (procedure),vurdering av respons på undervisning,711052009
Intervensjoner,Pain management (procedure),smertehåndtering,278414003
Intervensjoner,Family education about hygiene (situation),pårørendeundervisning om hygiene,710753003
Intervensjoner,Evaluation of psychosocial response to instruction about exercise (procedure),vurdering av psykososial respons på opplæring om trening,710213002
Intervensjoner,Medication education (procedure),opplæring i medisinering,967006
Intervensjoner,Gastrostomy/nasogastric tube care education (procedure),undervisning om stell av gastrostomi / nasogastrisk sonde,385808007
Intervensjoner,Swallowing test (procedure),gjennomføring av svelgtest,507541000202109
Intervensjoner,Measurement of fluid intake (procedure),måling av væskeinntak,711006002
Intervensjoner,Chemotherapy care education (procedure),undervisning om cellegiftbehandling,385787006
Intervensjoner,Identification of preoperative gastrointestinal status (procedure),avklaring av preoperativ gastrointestinal status,710773008
Intervensjoner,Sibling support (regime/therapy),støtte til søsken,243117007
Intervensjoner,Special care of dentures (regime/therapy),stell av tannprotese,7476006
Intervensjoner,Post-surgical wound care (regime/therapy),stell av operasjonssår,226007004
Intervensjoner,Development of care plan (procedure),utarbeiding av behandlingsplan,399684003
Intervensjoner,Assessment of hallucinations (procedure),vurdering av hallusinasjoner,17101000202104
Intervensjoner,Promotion of effective family process (procedure),fremming av tilfredsstillende pårørendeprosess,710147008
Intervensjoner,Palpation (procedure),palpasjon,113011001
Intervensjoner,Enteral feeding management (procedure),håndtering av enteral ernæring,408909002
Intervensjoner,Evaluating response to treatment (procedure),vurdering av respons på behandling,225953001
Intervensjoner,Identification of preoperative respiratory status (procedure),avklaring av preoperativ respiratorisk status,710777009
Intervensjoner,Information gathering about digestive function (procedure),kartlegging av fordøyelsesfunksjon,497651000202104
Intervensjoner,Support for family decision making process (regime/therapy),støtte avgjerdsprosess hos pårørande,710867002
Intervensjoner,Education about anticoagulant therapy (procedure),undervisning om antikoagulasjonsbehandling,442284008
Intervensjoner,Positive reinforcement (regime/therapy),positiv forsterking,225227001
Intervensjoner,Counseling about tobacco use (procedure),rettleiing om tobakksbruk,711028002
Intervensjoner,Education about urinary system function (procedure),undervisning om urinsystemets funksjon,713094003
Intervensjoner,Patient transfer education (procedure),opplæring i pasientoverflytting,410076000
Intervensjoner,Care of circumcision (regime/therapy),pleie etter omskjering,373943000
Intervensjoner,Education about health service (procedure),undervisning om helseteneste,1156521001
Intervensjoner,Promotion of use of memory skills (procedure),fremming av bruk av hukommelsesteknikk,710125008
Intervensjoner,Parenteral feeding (regime/therapy),parenteral ernæring,1354756004
Intervensjoner,Completion of mental health crisis plan (procedure),fullføring av kriseplan for psykisk helse,401277000
Intervensjoner,Demonstration of subcutaneous injection technique (procedure),demonstrasjon av subkutan injeksjonsteknikk,710573005
Intervensjoner,Regimen management support (regime/therapy),støtte til handtering av regime,710872006
Intervensjoner,Pacemaker care management (procedure),håndtering av pacemakerbehandling,410098009
Intervensjoner,Precautions for unstable blood glucose level (procedure),førebygging av ustabilt blodsukkernivå,497801000202101
Intervensjoner,Observation of sleep (procedure),observasjon av søvn,15181000202101
Intervensjoner,Promotion of mobility using mobility aid (procedure),fremjing av mobilitet ved bruk av hjelpemiddel,1153471005
Intervensjoner,Evaluation of psychosocial response to instruction about pain (procedure),vurdering av psykososial respons på informasjon om smerte,710216005
Intervensjoner,Enrollment in clinical trial (procedure),inklusjon i klinisk studie,709491003
Intervensjoner,Shock prevention (procedure),forebygging av sjokk,386436001
Intervensjoner,Monitoring peripheral edema (regime/therapy),overvåking av perifert ødem,297671000202106
Intervensjoner,Support of victim of elder abuse (regime/therapy),støtte av offer for eldremishandling,1172620009
Intervensjoner,Vision screening (procedure),synsundersøking,408760009
Intervensjoner,Urinary frequency volume chart (procedure),diureseliste,252908007
